"Person ID";Nativeness;Frames;"String Type";Manner;Path;"Value Type";"Value"
1;Late;11050_11112;Sequenced_1 (Manner-Path);swimming;down-hill;"Average Angle Change Right";344
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Total Body Change Left";13202
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Total Body Change Right";14134
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Average Body Change Left";943
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Average Body Change Right";1009
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Total Angle Change Left";4192
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Total Angle Change Right";4859
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Average Angle Change Left";299
1;Late;11151_11199;Sequenced_1 (Manner-Path);swimming;up-hill;"Average Angle Change Right";347
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Total Body Change Left";18371
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Total Body Change Right";17780
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Average Body Change Left";918
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Average Body Change Right";889
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Total Angle Change Left";5729
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Total Angle Change Right";6683
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Average Angle Change Left";286
1;Late;12500_12563;Conflated (Manner+Path);crawling;curved;"Average Angle Change Right";334
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Total Body Change Left";12363
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Total Body Change Right";13947
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Average Body Change Left";618
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Average Body Change Right";697
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Total Angle Change Left";4294
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Total Angle Change Right";4838
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Average Angle Change Left";214
1;Late;12631_12693;Mixed_1 (Manner+Path-...);crawling;coil;"Average Angle Change Right";241
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Total Body Change Left";11324
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Total Body Change Right";11779
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Average Body Change Left";707
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Average Body Change Right";736
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Total Angle Change Left";3770
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Total Angle Change Right";5828
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Average Angle Change Left";235
1;Late;12770_12821;Conflated (Manner+Path);crawling;zigzag;"Average Angle Change Right";364
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Total Body Change Left";13173
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Total Body Change Right";11747
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Average Body Change Left";878
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Average Body Change Right";783
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Total Angle Change Left";2082
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Total Angle Change Right";2847
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Average Angle Change Left";138
1;Late;12878_12925;Conflated (Manner+Path);crawling;circle;"Average Angle Change Right";189
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Total Body Change Left";9216
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Total Body Change Right";16210
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Average Body Change Left";542
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Average Body Change Right";953
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Total Angle Change Left";4087
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Total Angle Change Right";3739
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Average Angle Change Left";240
1;Late;12986_13039;Mixed_1 (Manner+Path-...);crawling;down-hill;"Average Angle Change Right";219
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Total Body Change Left";17852
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Total Body Change Right";17933
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Average Body Change Left";686
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Average Body Change Right";689
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Total Angle Change Left";8394
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Total Angle Change Right";7144
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Average Angle Change Left";322
1;Late;13092_13171;Mixed_1 (Manner+Path-...);crawling;up-hill;"Average Angle Change Right";274
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Total Body Change Left";8154
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Total Body Change Right";17736
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Average Body Change Left";407
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Average Body Change Right";886
